epoch,learning_rate,train_loss,valid_loss,valid_accuracy,test_loss,test_accuracy
89,0.001,0.168817,0.2108,89.6,0.2051,89.58
90,0.001,0.171452,0.2114,89.65,0.2035,89.88
91,0.001,0.167221,0.2121,89.6,0.2082,89.37
92,0.001,0.172772,0.2218,88.65,0.2145,89.15
93,0.001,0.170964,0.2117,89.75,0.2084,89.33
94,0.001,0.170786,0.2051,89.9,0.2011,89.33
95,0.001,0.169965,0.2076,89.4,0.1998,89.56
96,0.001,0.170022,0.2068,89.4,0.1982,89.6
97,0.001,0.167099,0.2131,89.5,0.2099,89.26
98,0.001,0.16471,0.2042,89.6,0.195,89.66
99,0.001,0.165556,0.211,90.05,0.2045,89.4
100,0.001,0.164982,0.2049,89.85,0.1974,89.53
101,0.001,0.16134,0.2055,89.6,0.1976,89.62
102,0.001,0.163175,0.2089,89.35,0.1991,89.54
103,0.001,0.16433,0.2032,89.6,0.2001,89.49
104,0.001,0.162691,0.2009,89.9,0.197,89.69
105,0.001,0.16296,0.2118,89.25,0.2044,89.44
106,0.001,0.157565,0.2358,88.9,0.2288,88.55
107,0.001,0.160237,0.2085,89.6,0.1986,89.88
108,0.001,0.16146,0.2148,89.45,0.2049,89.89
109,0.001,0.160795,0.2159,89.9,0.2123,89.42
110,0.001,0.158309,0.2061,89.4,0.1945,89.95
111,0.001,0.160743,0.2039,90.0,0.1973,89.85
112,0.001,0.159091,0.2209,89.5,0.2118,89.45
113,0.001,0.161525,0.2109,89.35,0.1999,89.87
114,0.001,0.156349,0.2126,89.65,0.2007,89.59
115,0.001,0.155794,0.2461,89.25,0.2444,88.58
116,0.001,0.160334,0.217,89.7,0.2124,89.12
117,0.001,0.154039,0.213,89.6,0.2042,89.7
118,0.001,0.158806,0.2075,89.3,0.1968,89.77
119,0.001,0.15464,0.2675,88.5,0.2666,88.02
120,0.001,0.157273,0.215,89.45,0.2053,89.69
121,0.001,0.156051,0.2218,89.35,0.2097,89.48
122,0.001,0.153588,0.2121,89.5,0.2005,89.76
123,0.001,0.155689,0.2189,89.1,0.204,89.43
124,0.001,0.157072,0.2062,89.8,0.1978,89.99
125,0.001,0.155985,0.2407,89.05,0.2421,88.5
126,0.001,0.155861,0.2089,89.95,0.1969,90.08
127,0.001,0.151925,0.2202,89.4,0.2064,89.75
128,0.001,0.156675,0.2514,88.75,0.2463,88.48
129,0.001,0.156672,0.2196,89.8,0.2249,89.58
130,0.001,0.149847,0.2159,89.65,0.2073,90.06
131,0.001,0.152473,0.225,89.85,0.205,89.84
132,0.001,0.154402,0.211,89.9,0.1954,90.0
133,0.001,0.154353,0.2235,88.9,0.2095,89.47
134,0.001,0.153335,0.21,89.45,0.201,89.79
135,0.001,0.153749,0.212,89.7,0.2067,89.79
136,0.001,0.151488,0.2093,89.95,0.2031,90.11
137,0.001,0.150354,0.2942,87.85,0.2954,87.41
138,0.001,0.149245,0.2259,89.3,0.2148,89.56
139,0.001,0.149119,0.2149,89.6,0.2044,89.79
140,0.001,0.147401,0.2167,89.65,0.2046,89.91
141,0.0001,0.140304,0.2173,89.9,0.207,90.02
142,0.0001,0.141029,0.2133,89.55,0.201,90.24
143,0.0001,0.14127,0.2112,89.8,0.1992,90.18
144,0.0001,0.140747,0.2152,89.9,0.2029,90.07
145,0.0001,0.143914,0.2092,89.95,0.1979,90.06
146,0.0001,0.14151,0.2152,89.85,0.2028,90.07
147,0.0001,0.141568,0.2178,89.95,0.2081,89.98
148,0.0001,0.143567,0.2135,89.75,0.201,90.05
149,0.0001,0.140776,0.2163,89.7,0.2062,90.1
150,0.0001,0.142823,0.2068,89.45,0.196,90.14
151,0.0001,0.143244,0.2151,89.7,0.2059,90.01
152,0.0001,0.144332,0.2145,89.85,0.2029,90.02
153,0.0001,0.144352,0.2117,89.75,0.2011,90.01
154,0.0001,0.142676,0.2124,90.0,0.2021,89.99
155,0.0001,0.142765,0.2141,89.65,0.2034,90.09
156,0.0001,0.140888,0.2095,89.9,0.1992,90.08
157,0.0001,0.144578,0.2097,89.95,0.1997,90.14
158,0.0001,0.140728,0.2272,89.45,0.2185,89.77
159,0.0001,0.140453,0.2144,89.85,0.2053,89.98
160,0.0001,0.141717,0.2208,89.8,0.2113,89.71
161,0.0001,0.13765,0.2134,89.8,0.2039,89.98
162,0.0001,0.142232,0.2122,90.0,0.2016,90.01
163,0.0001,0.139547,0.2117,89.9,0.2001,89.99
164,0.0001,0.140471,0.2201,89.9,0.2105,89.89
165,0.0001,0.13835,0.2124,89.75,0.2022,90.17
166,0.0001,0.139543,0.2174,89.85,0.2069,89.91
167,0.0001,0.138958,0.2199,89.9,0.2105,89.77
168,0.0001,0.140003,0.2167,89.9,0.2036,90.03
169,0.0001,0.140531,0.2162,89.85,0.2042,90.12
170,0.0001,0.141108,0.2144,89.85,0.2031,90.15
171,0.0001,0.140924,0.2127,89.9,0.2001,90.05
172,0.0001,0.140366,0.2168,89.45,0.203,90.02
173,0.0001,0.138575,0.2184,89.9,0.2044,90.04
174,0.0001,0.137843,0.2154,89.5,0.2037,89.93
175,0.0001,0.144342,0.2174,89.7,0.2075,89.93
176,0.0001,0.140262,0.2175,89.9,0.2085,89.82
177,0.0001,0.138365,0.2107,90.05,0.2005,90.08
178,0.0001,0.13947,0.2099,89.95,0.2003,90.15
179,0.0001,0.13766,0.2155,89.75,0.2042,90.19
180,0.0001,0.141843,0.2171,89.95,0.2069,90.15
181,1e-05,0.13696,0.209,90.25,0.1969,90.03
182,1e-05,0.138513,0.2169,89.75,0.2087,89.9
183,1e-05,0.139825,0.2167,89.75,0.208,89.79
184,1e-05,0.138512,0.2152,89.9,0.2061,89.92
185,1e-05,0.140315,0.2149,89.8,0.2035,90.05
186,1e-05,0.141542,0.2126,90.15,0.202,90.08
187,1e-05,0.139246,0.2162,90.1,0.2068,90.0
188,1e-05,0.137318,0.2078,90.0,0.1964,89.95
189,1e-05,0.137093,0.2138,89.8,0.2044,90.0
190,1e-05,0.137552,0.2108,89.85,0.2005,89.96
191,1e-05,0.140626,0.2112,90.1,0.1986,90.14
192,1e-05,0.14083,0.2127,89.9,0.2019,90.13
193,1e-05,0.136997,0.2154,89.6,0.2049,89.88
194,1e-05,0.136961,0.2097,90.0,0.1989,90.05
195,1e-05,0.139006,0.2132,89.75,0.2018,89.97
196,1e-05,0.138932,0.2142,89.8,0.2038,90.14
197,1e-05,0.140027,0.2118,89.9,0.2018,90.04
198,1e-05,0.139904,0.2216,89.5,0.2126,89.91
199,1e-05,0.136367,0.2151,90.0,0.2056,89.89
200,1e-05,0.143431,0.2121,89.75,0.2023,89.92
