epoch,learning_rate,train_loss,valid_loss,valid_accuracy,test_loss,test_accuracy
1,0.01,0.693374,0.6895,53.85,0.6896,53.72
2,0.01,0.683361,0.6897,53.2,0.6868,53.68
3,0.01,0.625512,0.5945,64.05,0.5894,64.15
4,0.01,0.620208,0.5677,67.65,0.5548,68.1
5,0.01,0.589858,0.5248,72.6,0.5226,72.08
6,0.01,0.536001,0.5001,72.65,0.4863,73.22
7,0.01,0.497015,0.4233,76.85,0.4204,77.3
8,0.01,0.462223,0.4182,77.7,0.4279,77.11
9,0.01,0.466346,0.4933,73.15,0.4938,73.26
10,0.01,0.444062,0.851,64.3,0.8596,64.3
11,0.01,0.422291,0.4369,75.6,0.4313,76.42
12,0.01,0.422115,1.2572,57.95,1.2451,58.36
13,0.01,0.407178,0.4073,78.6,0.4064,78.85
14,0.01,0.416493,1.0203,65.85,1.036,65.71
15,0.01,0.4055,0.8206,68.3,0.806,68.87
16,0.01,0.441235,0.5776,75.45,0.5685,76.27
17,0.01,0.396931,0.3816,79.55,0.3967,79.43
18,0.01,0.35547,0.3161,83.55,0.3465,82.46
19,0.01,0.337418,0.3175,82.9,0.3214,82.92
20,0.01,0.373618,0.3796,79.95,0.3813,79.98
21,0.01,0.340993,0.3426,83.6,0.351,82.33
22,0.01,0.347049,0.3225,83.25,0.3238,82.67
23,0.01,0.326113,0.2804,85.4,0.297,84.31
24,0.01,0.344455,0.3501,82.25,0.3564,81.3
25,0.01,0.324426,0.397,81.3,0.4152,81.06
26,0.01,0.315824,0.3698,80.65,0.3756,80.88
27,0.01,0.299083,0.6011,74.8,0.6091,75.17
28,0.01,0.329296,0.4126,79.75,0.4153,80.05
29,0.01,0.340088,0.5632,74.8,0.5818,74.18
30,0.01,0.323397,0.9332,66.75,0.9428,66.26
31,0.01,0.304081,0.5402,76.95,0.5587,76.24
32,0.01,0.305423,0.2766,85.5,0.2831,85.3
33,0.01,0.312491,0.3608,82.85,0.3787,81.9
34,0.01,0.305398,0.9423,69.65,0.9463,69.95
35,0.01,0.27319,0.2726,86.4,0.2726,85.74
36,0.01,0.299038,0.8357,73.0,0.8472,71.83
37,0.01,0.326474,0.3927,81.3,0.4181,80.33
38,0.01,0.31449,0.3115,85.6,0.3223,84.44
39,0.01,0.282211,0.2618,86.75,0.2683,85.88
40,0.01,0.294758,0.269,86.1,0.274,85.48
41,0.01,0.309662,0.3897,83.75,0.4185,83.39
42,0.01,0.301204,0.3299,84.15,0.341,82.71
43,0.01,0.275355,0.278,86.45,0.2906,85.7
44,0.01,0.274284,0.3644,84.55,0.3634,83.27
45,0.01,0.287469,0.5622,76.85,0.5816,76.95
46,0.01,0.303481,0.6011,79.1,0.6223,78.44
47,0.01,0.286058,0.2688,86.65,0.2908,85.39
48,0.01,0.293677,0.4451,80.2,0.4766,79.68
49,0.01,0.263463,0.9916,65.95,1.008,66.36
50,0.01,0.271466,0.3259,84.3,0.331,84.38
51,0.01,0.263529,0.272,85.7,0.2936,85.33
52,0.01,0.293307,0.6216,75.75,0.6359,75.85
53,0.01,0.26997,0.5608,80.25,0.5791,80.49
54,0.01,0.273091,0.4364,80.2,0.4424,80.44
55,0.01,0.268106,0.4053,80.45,0.4241,79.93
56,0.01,0.269461,0.659,76.7,0.6553,76.12
57,0.01,0.27187,0.4537,81.9,0.4571,82.0
58,0.01,0.270541,0.4554,82.7,0.4396,82.53
59,0.01,0.248315,0.2816,86.3,0.2812,85.94
60,0.01,0.282344,0.2979,85.45,0.3145,85.01
61,0.01,0.267576,0.6499,76.65,0.6836,76.05
62,0.01,0.273753,0.2671,86.25,0.2603,86.8
63,0.01,0.284095,0.4983,79.25,0.5157,79.34
64,0.01,0.265786,0.8295,72.9,0.8331,72.45
65,0.01,0.275759,0.2842,86.75,0.2771,86.57
66,0.01,0.305794,0.7212,78.6,0.7317,78.24
67,0.01,0.265356,1.1251,67.45,1.1992,66.37
68,0.01,0.234678,0.2531,87.55,0.2585,86.8
69,0.01,0.254049,0.3064,86.15,0.3243,85.96
70,0.01,0.272652,0.4586,83.35,0.4677,83.06
71,0.01,0.283065,0.2698,87.3,0.2592,87.18
72,0.01,0.282745,0.9741,68.75,1.0502,67.48
73,0.01,0.256756,0.2731,87.45,0.2745,87.2
74,0.01,0.267821,0.2504,87.6,0.2504,87.28
75,0.01,0.284571,0.7597,75.15,0.7739,74.79
76,0.01,0.259817,0.2899,87.45,0.2903,86.9
77,0.01,0.288087,0.4995,82.25,0.5095,82.09
78,0.01,0.267743,0.2796,86.75,0.2725,85.88
79,0.01,0.281073,0.3552,84.6,0.3794,83.71
80,0.01,0.258561,0.3355,84.8,0.3567,83.89
81,0.001,0.192842,0.2125,88.95,0.2063,89.2
82,0.001,0.185736,0.2129,88.8,0.2077,89.07
83,0.001,0.180006,0.2149,88.65,0.2113,89.12
84,0.001,0.181461,0.2052,89.2,0.2016,89.52
85,0.001,0.177062,0.2233,88.75,0.2172,88.88
86,0.001,0.176308,0.2159,89.3,0.2096,89.21
87,0.001,0.177257,0.2054,89.4,0.199,89.5
88,0.001,0.173425,0.2174,89.25,0.2128,89.33
