epoch,learning_rate,train_loss,valid_loss,valid_accuracy,test_loss,test_accuracy
1,0.01,0.689516,0.9229,50.55,0.9368,50.57
2,0.01,0.668705,1.1126,50.65,1.1332,50.79
3,0.01,0.641945,0.6522,58.6,0.6643,59.04
4,0.01,0.589778,0.8144,54.5,0.8157,54.92
5,0.01,0.58274,0.5849,65.8,0.5869,65.82
6,0.01,0.555069,3.7321,50.0,3.8446,50.0
7,0.01,0.56293,1.3411,52.05,1.3383,52.25
8,0.01,0.515792,1.0433,57.8,1.0261,58.41
9,0.01,0.50467,0.8632,61.8,0.8643,62.11
10,0.01,0.504696,0.9336,56.8,0.925,57.52
11,0.01,0.486581,0.6292,66.1,0.6114,67.08
12,0.01,0.490376,0.7552,62.65,0.7901,62.19
13,0.01,0.47814,0.8004,65.35,0.7694,66.62
14,0.01,0.479684,1.1839,58.75,1.1875,59.34
15,0.01,0.494185,0.9482,60.65,0.9257,61.3
16,0.01,0.486078,2.9869,50.35,3.0245,50.36
17,0.01,0.457649,0.4917,73.75,0.4716,74.86
18,0.01,0.417588,0.5338,73.45,0.529,73.26
19,0.01,0.45298,1.3005,56.35,1.2839,57.76
20,0.01,0.429529,0.7394,68.65,0.7078,70.08
21,0.01,0.45287,0.582,69.4,0.5681,70.56
22,0.01,0.39616,0.4039,78.1,0.3807,79.21
23,0.01,0.410291,1.0706,64.5,1.0205,65.49
24,0.01,0.380287,2.5546,57.35,2.515,58.78
25,0.01,0.399901,0.5121,75.05,0.484,76.3
26,0.01,0.391406,1.6209,59.1,1.6227,59.85
27,0.01,0.364116,0.4225,78.35,0.3952,80.55
28,0.01,0.350461,0.5815,68.9,0.5537,70.61
29,0.01,0.368035,0.4737,78.5,0.4509,79.46
30,0.01,0.354332,2.1467,59.1,2.1088,59.77
31,0.01,0.401699,0.4475,77.7,0.4153,79.04
32,0.01,0.338389,0.8205,69.95,0.7919,71.0
33,0.01,0.334788,0.4784,78.35,0.5177,77.37
34,0.01,0.344938,0.5361,77.75,0.5186,79.08
35,0.01,0.332462,0.4541,79.3,0.4445,79.34
36,0.01,0.328889,0.3578,81.45,0.3504,81.85
37,0.01,0.347767,0.3539,80.9,0.3477,81.46
38,0.01,0.324953,0.7087,70.35,0.6815,71.14
39,0.01,0.315023,1.0068,67.2,1.0093,67.66
40,0.01,0.309031,0.6308,73.65,0.5856,74.68
41,0.01,0.317164,1.177,66.3,1.188,67.33
42,0.01,0.330661,0.352,82.7,0.3302,83.35
43,0.01,0.311287,0.3511,82.15,0.3296,83.34
44,0.01,0.318169,0.7916,73.65,0.7616,73.97
45,0.01,0.356162,0.4565,80.6,0.4626,80.93
46,0.01,0.294536,1.0369,68.05,1.0017,69.21
47,0.01,0.296219,0.5959,75.8,0.5996,75.77
48,0.01,0.32633,0.5447,77.05,0.5172,78.07
49,0.01,0.309621,0.4382,77.9,0.422,79.84
50,0.01,0.337013,0.8196,68.9,0.7963,69.53
51,0.01,0.306053,0.4874,79.9,0.4928,80.35
52,0.01,0.286659,0.3082,84.0,0.3104,83.98
53,0.01,0.295732,0.5313,79.3,0.531,79.43
54,0.01,0.324522,0.3503,82.45,0.3437,82.88
55,0.01,0.304302,0.6764,71.25,0.6519,72.3
56,0.01,0.295258,0.8201,71.1,0.8013,71.61
57,0.01,0.369992,0.3763,82.85,0.3865,83.34
58,0.01,0.317671,1.1822,67.4,1.1504,67.8
59,0.01,0.29638,0.78,75.8,0.7226,76.97
60,0.01,0.309683,0.412,80.7,0.4042,81.78
61,0.01,0.29636,0.6111,77.85,0.593,78.44
62,0.01,0.289449,0.3818,81.0,0.3675,82.32
63,0.01,0.290527,0.6934,72.9,0.681,73.7
64,0.01,0.272487,0.5749,76.95,0.5527,77.57
65,0.01,0.300475,0.3784,81.75,0.3826,82.09
66,0.01,0.278709,0.6909,71.85,0.7012,71.54
67,0.01,0.314329,0.8583,71.8,0.9101,71.67
68,0.01,0.279068,0.2988,84.4,0.2856,84.96
69,0.01,0.281324,0.7487,73.25,0.6651,74.7
70,0.01,0.278172,0.9402,71.5,0.8798,73.89
71,0.01,0.303028,0.6196,77.7,0.5977,78.33
72,0.01,0.2828,0.6643,77.95,0.6564,77.74
73,0.01,0.264693,0.3775,82.05,0.3782,82.24
74,0.01,0.303529,2.1192,60.35,2.17,60.06
75,0.01,0.275477,0.3785,83.05,0.3733,83.47
76,0.01,0.266307,0.5602,74.7,0.5681,74.8
77,0.01,0.25272,0.2982,85.1,0.3051,85.32
78,0.01,0.254842,0.7099,76.3,0.7319,76.32
79,0.01,0.257195,0.3505,83.85,0.3387,84.13
80,0.01,0.279217,0.3999,80.8,0.3667,81.9
81,0.001,0.206248,0.2522,87.2,0.2439,87.2
82,0.001,0.197495,0.237,87.6,0.235,87.78
83,0.001,0.190466,0.2382,87.8,0.2366,87.57
84,0.001,0.188015,0.2379,87.85,0.2339,87.86
85,0.001,0.18005,0.2508,87.1,0.2569,87.02
86,0.001,0.182875,0.2312,88.55,0.2302,88.13
87,0.001,0.18109,0.2538,87.35,0.2448,87.54
88,0.001,0.182856,0.2309,88.4,0.2297,87.89
89,0.001,0.179346,0.237,87.15,0.2431,87.73
90,0.001,0.179151,0.2323,88.05,0.2314,88.11
91,0.001,0.178694,0.2386,88.05,0.2346,87.82
92,0.001,0.180422,0.2351,88.0,0.2299,88.24
93,0.001,0.177435,0.2298,88.15,0.229,88.22
94,0.001,0.174472,0.2317,87.9,0.2304,88.04
95,0.001,0.176473,0.2489,87.8,0.2389,87.96
96,0.001,0.175593,0.2564,86.85,0.25,87.34
97,0.001,0.173499,0.2703,86.8,0.2689,87.07
98,0.001,0.172716,0.2308,88.05,0.2352,88.12
99,0.001,0.173013,0.2727,86.8,0.2622,87.33
100,0.001,0.172453,0.2494,87.1,0.2391,88.06
101,0.001,0.169214,0.2358,87.9,0.2302,88.46
102,0.001,0.16693,0.2448,87.35,0.2424,88.23
103,0.001,0.166134,0.233,88.15,0.2283,88.32
104,0.001,0.168957,0.2455,87.35,0.2447,87.93
105,0.001,0.168863,0.2351,87.85,0.2329,88.21
106,0.001,0.170102,0.252,87.05,0.2443,87.67
107,0.001,0.163633,0.2787,86.85,0.2949,86.64
108,0.001,0.170382,0.2604,87.3,0.2497,87.81
109,0.001,0.164352,0.2513,87.5,0.2437,88.02
110,0.001,0.163358,0.2603,87.65,0.2558,87.77
111,0.001,0.167625,0.2576,87.65,0.2648,87.24
112,0.001,0.163162,0.2806,86.5,0.2652,87.14
